
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-5.48626566e+00, 3.74325418e+00, 1.24020576e-02, 7.99545776e+02, 8.51285629e+01, -1.27531961e-02, 0.00000000e+00
-5.70892715e+00, 3.50645232e+00, 1.24020576e-02, 8.15601440e+02, 8.47112198e+01, -3.25259231e-02, 0.00000000e+00
4.66996241e+00, -6.89983606e+00, 1.24020576e-02, 9.32993164e+01, 5.21535378e+01, 8.48127544e-01, 0.00000000e+00
4.97362232e+00, -6.86930323e+00, 1.24020576e-02, 8.22278061e+01, 5.34128914e+01, 8.13992560e-01, 0.00000000e+00
4.87675571e+00, -6.62998247e+00, 1.24020576e-02, 9.01994934e+01, 6.83277664e+01, 1.28596246e+00, 0.00000000e+00
-5.72646952e+00, -1.38512564e+00, 1.24020576e-02, 9.12089966e+02, 8.27185974e+01, -2.51021087e-01, 0.00000000e+00
-6.01134920e+00, -1.31944847e+00, 1.24020576e-02, 9.12841736e+02, 8.26942368e+01, -1.44182205e-01, 0.00000000e+00
-5.93200207e+00, -1.56583166e+00, 1.24020576e-02, 9.06575562e+02, 8.28318939e+01, -1.76554948e-01, 0.00000000e+00
-7.67960072e+00, 5.72185707e+00, 1.24020576e-02, 8.04061401e+02, 8.84045029e+01, -1.75512826e+00, 0.00000000e+00
-7.27829885e+00, 5.85182095e+00, 1.24020576e-02, 7.83634155e+02, 8.86920242e+01, -1.66014946e+00, 0.00000000e+00
-7.64757538e+00, 6.06244326e+00, 1.24020576e-02, 7.90249084e+02, 8.85764465e+01, -1.82378864e+00, 0.00000000e+00
-8.68519974e+00, 7.20514441e+00, 1.24020576e-02, 8.06740356e+02, 3.56668892e+01, -1.86822817e-01, 0.00000000e+00
-8.57405949e+00, 6.88136673e+00, 1.24020576e-02, 8.10801086e+02, 6.44374924e+01, -1.02509797e+00, 0.00000000e+00
-8.39068985e+00, 7.16176176e+00, 1.24020576e-02, 8.10319702e+02, 3.69127922e+01, -3.71237427e-01, 0.00000000e+00
-4.48365545e+00, -5.39122105e+00, 1.24020576e-02, 6.89868591e+02, 8.91937180e+01, 3.50801140e-01, 0.00000000e+00
-4.38365269e+00, -5.64594221e+00, 1.24020576e-02, 6.75020508e+02, 8.97673950e+01, 4.40172225e-01, 0.00000000e+00
-4.23912525e+00, -5.45549440e+00, 1.24020576e-02, 6.75043274e+02, 8.95124893e+01, 2.67066538e-01, 0.00000000e+00
4.13003731e+00, -1.77627337e+00, 1.24020576e-02, 1.84200867e+02, 8.70683670e+01, 2.24285221e+00, 0.00000000e+00
4.30887699e+00, -1.99830914e+00, 1.24020576e-02, 1.66089157e+02, 8.89923706e+01, 1.01164269e+00, 0.00000000e+00
4.43511057e+00, -1.76922154e+00, 1.24020576e-02, 2.37420441e+02, 8.74892807e+01, -4.88399416e-01, 0.00000000e+00
-1.29553623e+01, 1.21149433e+00, 1.24020576e-02, 1.07354492e+03, 8.06517868e+01, -4.26838845e-01, 0.00000000e+00
-1.29034586e+01, 8.23528171e-01, 1.24020576e-02, 1.07012256e+03, 8.06336746e+01, -3.01823229e-01, 0.00000000e+00
-1.25865955e+01, 1.01818085e+00, 1.24020576e-02, 1.06050684e+03, 8.07670135e+01, -3.82187992e-01, 0.00000000e+00
-3.75102210e+00, 4.49136829e+00, 1.24020576e-02, 6.76069336e+02, 8.73496628e+01, 6.63183808e-01, 0.00000000e+00
-4.09292078e+00, 4.35420609e+00, 1.24020576e-02, 7.05473083e+02, 8.68413391e+01, 5.46860993e-01, 0.00000000e+00
-3.82610559e+00, 4.17270565e+00, 1.24020576e-02, 6.98647827e+02, 8.66711502e+01, 8.56096268e-01, 0.00000000e+00
4.38900089e+00, -5.10877419e+00, 1.24020576e-02, 7.76533432e+01, 9.49874268e+01, 2.07304788e+00, 0.00000000e+00
4.12247658e+00, -5.43555832e+00, 1.24020576e-02, 8.80998611e+01, 9.49899063e+01, 2.02918506e+00, 0.00000000e+00
4.53810835e+00, -5.46652365e+00, 1.24020576e-02, 8.50388565e+01, 9.48058090e+01, 2.14110446e+00, 0.00000000e+00
-5.24038315e+00, -5.84410906e+00, 1.24020576e-02, 7.08598022e+02, 8.94021530e+01, 9.01915014e-01, 0.00000000e+00
-5.52624559e+00, -6.03369570e+00, 1.24020576e-02, 7.11509277e+02, 8.87922363e+01, 1.06022799e+00, 0.00000000e+00
-5.29917002e+00, -6.12265062e+00, 1.24020576e-02, 7.00533569e+02, 8.82629852e+01, 9.63965058e-01, 0.00000000e+00
6.24792624e+00, 2.93729281e+00, 1.24020576e-02, 1.43844849e+02, 9.00281372e+01, -3.11090159e+00, 0.00000000e+00
5.94161844e+00, 2.90448117e+00, 1.24020576e-02, 1.21262444e+02, 9.02847290e+01, -3.99760342e+00, 0.00000000e+00
6.09117556e+00, 2.59479284e+00, 1.24020576e-02, 1.55953934e+02, 8.89536133e+01, -3.91746640e+00, 0.00000000e+00
1.40000000e+01, 3.29999995e+00, 1.24020576e-02, 0.00000000e+00, 9.38882751e+01, 6.65780604e-01, 0.00000000e+00
1.36629734e+01, 3.19544888e+00, 1.24020576e-02, 1.94513378e+01, 9.31078720e+01, 7.66704381e-01, 0.00000000e+00
1.40000000e+01, 3.00000000e+00, 1.24020576e-02, 0.00000000e+00, 9.37225266e+01, 1.37025738e+00, 0.00000000e+00
-1.02821569e+01, 3.32248473e+00, 1.24020576e-02, 9.67197510e+02, 8.27753525e+01, -1.37107372e+00, 0.00000000e+00
-1.01259594e+01, 3.61512947e+00, 1.24020576e-02, 9.56228638e+02, 8.31240311e+01, -1.49309003e+00, 0.00000000e+00
-1.04127216e+01, 3.62387180e+00, 1.24020576e-02, 9.67739136e+02, 8.29805984e+01, -1.55276859e+00, 0.00000000e+00
-2.17628813e+00, -6.90613031e+00, 1.24020576e-02, 4.97132294e+02, 5.61357956e+01, -4.14515845e-02, 0.00000000e+00
-1.91283035e+00, -7.02500677e+00, 1.24020576e-02, 4.67552856e+02, 4.74114151e+01, -3.85975428e-02, 0.00000000e+00
-1.88299155e+00, -6.78401279e+00, 1.24020576e-02, 4.67197784e+02, 6.44062576e+01, -6.38511553e-02, 0.00000000e+00
7.61889029e+00, 1.43294215e+00, 1.24020576e-02, 2.75525330e+02, 7.80195389e+01, 7.87028694e+00, 0.00000000e+00
7.36342096e+00, 1.61569846e+00, 1.24020576e-02, 3.11769745e+02, 8.24672318e+01, 5.50020599e+00, 0.00000000e+00
2.06310797e+00, -3.38598776e+00, 1.24020576e-02, -1.21438034e+02, 9.48581161e+01, 7.36608267e-01, 0.00000000e+00
2.31689310e+00, -3.54830647e+00, 1.24020576e-02, -8.80113220e+01, 9.45035706e+01, 1.12938797e+00, 0.00000000e+00
2.32560134e+00, -3.22144127e+00, 1.24020576e-02, -1.52528931e+02, 9.48977890e+01, 1.40871084e+00, 0.00000000e+00
7.08305788e+00, 5.98459816e+00, 1.24020576e-02, 6.90415039e+01, 8.83550949e+01, -1.89968371e+00, 0.00000000e+00
7.25860357e+00, 6.30409527e+00, 1.24020576e-02, 6.41941528e+01, 7.91106033e+01, -1.52236998e+00, 0.00000000e+00
6.94241381e+00, 6.30404615e+00, 1.24020576e-02, 6.45616989e+01, 7.94942017e+01, -1.57852256e+00, 0.00000000e+00
1.20308886e+01, -1.21774673e+00, 1.24020576e-02, -3.69062996e+01, 8.11276703e+01, -6.00321722e+00, 0.00000000e+00
1.23121901e+01, -1.34378290e+00, 1.24020576e-02, -6.33390388e+01, 8.60636368e+01, -2.31407285e+00, 0.00000000e+00
1.23121901e+01, -1.00315797e+00, 1.24020576e-02, -6.73021851e+01, 7.97806931e+01, -5.07824755e+00, 0.00000000e+00
1.04693775e+01, -2.06094933e+00, 1.24020576e-02, 1.77355621e+02, 8.81751862e+01, -4.42673063e+00, 0.00000000e+00
1.01716328e+01, -2.14026284e+00, 1.24020576e-02, 1.97359421e+02, 8.78345337e+01, -3.10423493e+00, 0.00000000e+00
1.02968674e+01, -2.38377380e+00, 1.24020576e-02, 1.74813538e+02, 8.96971664e+01, -2.54096460e+00, 0.00000000e+00
-1.25815115e+01, -3.59391189e+00, 1.24020576e-02, 1.08109351e+03, 8.15534821e+01, 1.61303306e+00, 0.00000000e+00
-1.27974968e+01, -3.44167995e+00, 1.24020576e-02, 1.09051282e+03, 8.13223648e+01, 1.48537600e+00, 0.00000000e+00
-1.27870378e+01, -3.85945892e+00, 1.24020576e-02, 1.09422595e+03, 8.15678711e+01, 1.75939059e+00, 0.00000000e+00
4.96891117e+00, 5.98207378e+00, 1.24020576e-02, 6.84045029e+01, 9.02624435e+01, -2.16754889e+00, 0.00000000e+00
5.14384413e+00, 6.30389786e+00, 1.24020576e-02, 6.48163681e+01, 8.21660690e+01, -1.80097294e+00, 0.00000000e+00
4.82765436e+00, 6.30384827e+00, 1.24020576e-02, 7.17207489e+01, 8.25663757e+01, -1.85459316e+00, 0.00000000e+00
1.36807232e+01, 1.96719444e+00, 1.24020576e-02, 4.26812210e+01, 8.71426163e+01, 4.70214558e+00, 0.00000000e+00
1.35387554e+01, 2.26534009e+00, 1.24020576e-02, 4.95940628e+01, 8.98583298e+01, 3.45700717e+00, 0.00000000e+00
1.33910036e+01, 2.05334926e+00, 1.24020576e-02, 7.07512512e+01, 8.73408203e+01, 3.78367186e+00, 0.00000000e+00
-1.25055943e+01, 6.17779112e+00, 1.24020576e-02, 1.05500708e+03, 8.66177139e+01, -4.48111963e+00, 0.00000000e+00
